[2022-10-21 12:15:12.950] [exthost] [info] Extension host with pid 79946 started
[2022-10-21 12:15:12.950] [exthost] [info] Skipping acquiring lock for /home/michail/.config/Code/User/workspaceStorage/8e9e073cee16bc9852dbe85c9919bc56.
[2022-10-21 12:15:13.394] [exthost] [info] ExtensionService#_doActivateExtension vscode.typescript-language-features, startup: false, activationEvent: 'onLanguage:typescript'
[2022-10-21 12:15:13.394] [exthost] [info] ExtensionService#_doActivateExtension Shelex.vscode-cy-helper, startup: false, activationEvent: 'onLanguage:typescript'
[2022-10-21 12:15:13.395] [exthost] [info] ExtensionService#_doActivateExtension vscode.microsoft-authentication, startup: false, activationEvent: 'onAuthenticationRequest:microsoft'
[2022-10-21 12:15:13.396] [exthost] [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: true, activationEvent: '*'
[2022-10-21 12:15:13.396] [exthost] [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*', root cause: vscode.git
[2022-10-21 12:15:13.396] [exthost] [info] ExtensionService#_doActivateExtension vscode.ipynb, startup: true, activationEvent: '*'
[2022-10-21 12:15:13.396] [exthost] [info] ExtensionService#_doActivateExtension drmax.drmax-vscode-testrail, startup: true, activationEvent: '*'
[2022-10-21 12:15:13.397] [exthost] [info] ExtensionService#_doActivateExtension mhutchie.git-graph, startup: true, activationEvent: '*'
[2022-10-21 12:15:13.397] [exthost] [info] ExtensionService#_doActivateExtension vscodevim.vim, startup: true, activationEvent: '*'
[2022-10-21 12:15:13.397] [exthost] [info] ExtensionService#_doActivateExtension vscode.npm, startup: true, activationEvent: 'workspaceContains:package.json'
[2022-10-21 12:15:14.814] [exthost] [info] ExtensionService#_doActivateExtension vscode.git, startup: true, activationEvent: '*'
[2022-10-21 12:15:14.815] [exthost] [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
[2022-10-21 12:15:15.546] [exthost] [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
[2022-10-21 12:15:15.593] [exthost] [info] Eager extensions activated
[2022-10-21 12:15:15.850] [exthost] [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onStartupFinished'
[2022-10-21 12:15:15.851] [exthost] [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
[2022-10-21 12:15:15.851] [exthost] [info] ExtensionService#_doActivateExtension dbaeumer.vscode-eslint, startup: false, activationEvent: 'onStartupFinished'
[2022-10-21 12:15:15.852] [exthost] [info] ExtensionService#_doActivateExtension eamodio.gitlens, startup: false, activationEvent: 'onStartupFinished'
[2022-10-21 12:15:15.853] [exthost] [info] ExtensionService#_doActivateExtension esbenp.prettier-vscode, startup: false, activationEvent: 'onStartupFinished'
[2022-10-21 12:15:15.853] [exthost] [info] ExtensionService#_doActivateExtension GitHub.copilot-nightly, startup: false, activationEvent: 'onStartupFinished'
[2022-10-21 12:15:15.854] [exthost] [info] ExtensionService#_doActivateExtension PKief.material-icon-theme, startup: false, activationEvent: 'onStartupFinished'
